SP_ID,oa_code,supgrp_cd,grp_cd
"6310",E00005409,G,G1
"6311",E00008650,E,E2
"6312",E00001705,A,A2
"6313",E00005488,H,H1
"6314",E00006706,C,C1
"6315",E00005489,H,H1
"6316",E00006787,C,C2
"6317",E00005408,C,C1
"6318",E00001785,H,H2
"6319",E00000409,A,A1
"6320",E00001704,A,A2
"6321",E00000488,A,A1
"6322",E00012764,G,G2
"6323",E00006785,C,C3
"6324",E00017766,G,G2
"6325",E00006704,C,C1
"6326",E00000812,H,H1
"6327",E00000893,F,F2
"6328",E00000894,G,G2
"6329",E00005388,A,A1
"6330",E00005309,A,A2
"6331",E00000815,F,F2
"6332",E00000814,F,F2
