SP_ID,oa_code,supgrp_cd,grp_cd
"5547",E00015882,E,E1
"5548",E00004902,G,G1
"5549",E00011253,H,H1
"5550",E00006131,G,G1
"5551",E00014859,F,F2
"5552",E00011252,H,H1
"5553",E00019033,C,C3
"5554",E00004905,E,E1
"5555",E00004904,G,G1
"5556",E00018049,G,G1
"5557",E00004985,C,C1
"5558",E00015883,C,C1
"5559",E00004986,C,C3
"5560",E00015802,B,B1
"5561",E00006130,E,E1
"5562",E00014858,H,H2
"5563",E00011254,H,H1
"5564",E00019031,C,C3
"5565",E00004983,C,C1
"5566",E00019030,C,C3
"5567",E00004982,G,G1
"5568",E00014521,F,F1
"5569",E00000598,H,H1
"5570",E00014523,F,F1
"5571",E00014520,D,D2
"5572",E00000599,A,A1
"5573",E00014525,D,D2
"5574",E00014522,D,D2
"5575",E00022135,G,G2
"5576",E00022048,A,A2
"5577",E00000224,A,A1
"5578",E00022132,G,G2
"5579",E00020037,B,B3
"5580",E00022137,G,G2
"5581",E00023035,G,G2
"5582",E00022134,G,G2
"5583",E00020036,E,E2
"5584",E00022950,F,F1
"5585",E00023034,B,B3
"5586",E00022951,F,F1
"5587",E00023037,G,G1
"5588",E00021969,C,C1
"5589",E00023036,B,B3
"5590",E00022953,B,B3
"5591",E00022869,E,E2
"5592",E00020034,B,B3
"5593",E00022133,G,G2
"5594",E00002279,A,A1
"5595",E00023032,E,E1
"5596",E00022130,G,G2
"5597",E00005227,E,E1
"5598",E00008168,E,E2
"5599",E00176523,E,E1
"5600",E00008419,G,G2
"5601",E00010135,B,B3
"5602",E00011907,H,H2
"5603",E00010134,E,E2
"5604",E00011906,H,H2
"5605",E00010136,E,E1
"5606",E00010137,A,A1
"5607",E00017140,G,G1
"5608",E00017141,C,C1
"5609",E00001379,G,G1
"5610",E00017148,A,A1
"5611",E00010132,E,E2
"5612",E00001378,F,F1
"5613",E00001371,F,F2
"5614",E00001848,E,E1
"5615",E00001370,H,H1
"5616",E00001685,H,H2
"5617",E00001604,H,H2
"5618",E00001686,H,H2
"5619",E00001607,H,H2
"5620",E00000658,G,G2
"5621",E00000586,H,H2
"5622",E00024114,B,B3
"5623",E00000581,F,F2
"5624",E00000580,H,H1
"5625",E00004611,B,B3
"5626",E00015671,B,B3
"5627",E00004690,B,B3
"5628",E00015678,D,D2
"5629",E00004610,B,B3
"5630",E00015673,E,E2
"5631",E00004691,B,B2
"5632",E00015670,E,E2
"5633",E00004613,B,B3
"5634",E00015672,D,D2
"5635",E00004692,B,B2
"5636",E00175139,G,G1
"5637",E00004612,B,B3
"5638",E00015675,E,E1
"5639",E00004693,B,B3
"5640",E00175138,D,D1
"5641",E00004618,E,E2
"5642",E00018626,A,A1
"5643",E00004699,B,B2
"5644",E00015679,E,E2
"5645",E00018278,G,G1
"5646",E00018279,C,C3
"5647",E00013297,C,C4
"5648",E00013216,C,C2
"5649",E00018270,B,B2
"5650",E00018271,G,G1
"5651",E00018273,G,G1
"5652",E00171519,D,D2
"5653",E00013294,C,C2
"5654",E00013215,C,C2
"5655",E00024001,D,D1
"5656",E00023811,D,D2
"5657",E00024080,B,B2
"5658",E00024081,B,B3
"5659",E00023890,D,D2
"5660",E00016213,B,B3
"5661",E00016291,E,E1
"5662",E00016212,E,E1
"5663",E00016292,A,A1
"5664",E00023899,D,D1
"5665",E00016215,E,E1
"5666",E00016293,A,A1
"5667",E00008474,B,B1
"5668",E00016214,E,E1
"5669",E00016479,B,B1
"5670",E00016294,A,A1
"5671",E00016210,E,E1
"5672",E00016290,A,A1
"5673",E00008418,A,A1
"5674",E00008499,B,B1
"5675",E00002478,G,G1
"5676",E00002479,C,C4
"5677",E00002470,G,G1
"5678",E00002471,G,G1
"5679",E00002472,E,E1
"5680",E00002473,C,C4
"5681",E00009333,E,E2
"5682",E00011475,H,H2
"5683",E00011472,H,H2
"5684",E00009332,D,D2
"5685",E00011476,A,A2
"5686",E00009335,B,B3
"5687",E00011477,A,A2
